#
# (C) Copyright IBM Corporation 2011, 2016
#
# Example of trace output for avgtemp.tcl

PWR1MS_rcnt,TEMPAVG32MSP0C0_value,TEMPAVG32MSP0C1_value,TEMPAVG32MSP0C2_value,TEMPAVG32MSP0C3_value,TEMPAVG32MSP0C4_value,TEMPAVG32MSP0C5_value,TEMPAVG32MSP0C6_value,TEMPAVG32MSP0C7_value,TEMPAVG32MSP0_value,oca_counter
1524915,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,191
1524947,0.0,40.0,40.8,41.0,0.0,39.8,39.2,39.8,40.1,192
1524979,0.0,40.2,40.8,41.0,0.0,39.8,39.2,39.8,40.1,193
1525011,0.0,40.2,40.8,41.0,0.0,39.8,39.2,39.8,40.1,194
1525043,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,195
1525075,0.0,40.2,40.8,41.0,0.0,39.8,38.8,39.8,40.0,196
1525107,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,197
1525139,0.0,40.0,40.8,41.0,0.0,40.0,39.2,39.8,40.1,198
1525171,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,199
1525203,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,200
1525235,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,201
1525267,0.0,39.8,40.6,41.0,0.0,40.0,38.6,39.8,39.9,202
1525299,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,203
1525331,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,204
1525363,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,205
1525395,0.0,40.2,40.8,41.0,0.0,40.0,38.6,39.8,40.0,206
1525427,0.0,40.2,40.8,41.0,0.0,39.8,38.8,39.8,40.0,207
1525459,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,208
1525491,0.0,39.8,40.8,41.0,0.0,40.0,38.8,39.8,40.0,209
1525523,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,210
1525555,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,211
1525587,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,212
1525619,0.0,40.2,40.8,41.0,0.0,39.8,38.8,39.8,40.0,213
1525651,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,214
1525683,0.0,40.2,40.8,41.0,0.0,39.8,39.2,39.8,40.1,215
1525715,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,216
1525747,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,217
1525779,0.0,40.0,40.8,41.0,0.0,40.0,38.8,39.8,40.0,218
1525811,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,219
1525843,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,220
1525875,0.0,40.2,40.8,41.0,0.0,39.8,38.8,40.0,40.1,221
1525907,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,222
1525939,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,223
1525971,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,224
1526003,0.0,40.0,40.8,41.0,0.0,40.0,38.8,39.8,40.0,225
1526035,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,226
1526067,0.0,40.2,40.6,41.0,0.0,40.0,38.8,39.8,40.0,227
1526099,0.0,40.2,40.6,41.0,0.0,40.0,38.6,39.8,40.0,228
1526131,0.0,40.2,40.8,41.0,0.0,39.8,38.8,39.8,40.0,229
1526163,0.0,40.2,40.8,41.0,0.0,40.0,38.8,40.0,40.1,230
1526195,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,231
1526227,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,232
1526259,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,233
1526291,0.0,40.2,40.6,41.0,0.0,40.0,39.2,39.8,40.1,234
1526323,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,235
1526355,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,236
1526387,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,237
1526419,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,238
1526451,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,239
1526483,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,240
1526515,0.0,40.2,40.8,41.0,0.0,39.8,39.2,39.8,40.1,241
1526547,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,242
1526579,0.0,40.0,40.8,41.0,0.0,40.0,39.2,39.8,40.1,243
1526611,0.0,40.2,40.8,41.0,0.0,39.8,38.8,39.8,40.0,244
1526643,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,245
1526675,0.0,40.2,40.6,41.0,0.0,40.0,39.0,39.8,40.1,246
1526707,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,247
1526739,0.0,40.2,40.8,41.0,0.0,40.0,38.8,39.8,40.1,248
1526771,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,249
1526803,0.0,40.2,40.8,41.0,0.0,40.0,39.2,39.8,40.1,250
